normalized-losses,wheel-base,length,width,height,curb-weight,engine-size,bore,stroke,compression-ratio,peak-rpm,city-mpg,highway-mpg,price,engine-location_rear,aspiration_turbo,fuel-type_gas,num-of-doors_two,body-style_hardtop,body-style_hatchback,body-style_sedan,body-style_wagon,drive-wheels_fwd,drive-wheels_rwd,engine-type_l,engine-type_ohc,engine-type_ohcf,engine-type_ohcv,engine-type_rotor,fuel-system_2bbl,fuel-system_4bbl,fuel-system_idi,fuel-system_mfi,fuel-system_mpfi,fuel-system_spdi,fuel-system_spfi,symboling_-1,symboling_0,symboling_1,symboling_2,symboling_3,num-of-cylinders_five,num-of-cylinders_four,num-of-cylinders_six,num-of-cylinders_three,num-of-cylinders_twelve,num-of-cylinders_two,horsepower_Medium,horsepower_High
0.0,-1.6851071014504144,-0.4394094902759044,-0.8534602385780973,-2.034080714648181,-0.01485764173587552,0.07538912066139358,0.5208944657082615,-1.8299271996570718,-0.29143463936245406,-0.24655572865449354,-0.6522490130673253,-0.5422877155637627,13495.0,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
0.0,-1.6851071014504144,-0.4394094902759044,-0.8534602385780973,-2.034080714648181,-0.01485764173587552,0.07538912066139358,0.5208944657082615,-1.8299271996570718,-0.29143463936245406,-0.24655572865449354,-0.6522490130673253,-0.5422877155637627,16500.0,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
0.0,-0.7101029486352078,-0.2441523623198482,-0.18559674821136504,-0.5597134852387611,0.5180795074857569,0.606234170923627,-2.4334351880153737,0.6759379132565282,-0.29143463936245406,-0.24655572865449354,-0.9643967550352597,-0.6893860027814634,16500.0,False,False,True,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
1.3159313784047242,0.1657482394869256,0.19517617558128297,0.14833499697200106,0.21842477472732055,-0.4237657816841099,-0.4313266091343746,-0.5262097153583443,0.4538992323654488,-0.04112115114839865,0.8018329466071397,-0.1840274001154239,-0.10099285391066044,13950.0,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
1.3159313784047242,0.09964626302487915,0.19517617558128297,0.24374406702439233,0.21842477472732055,0.5200174607556538,0.22016504346018448,-0.5262097153583443,0.4538992323654488,-0.5417481275765095,0.8018329466071397,-1.1204706260192268,-1.2777791516522663,17450.0,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
0.0,0.1657482394869256,0.25212617123513464,0.1960395319981933,-0.2730309684091507,-0.09431372580164618,0.22016504346018448,-0.5262097153583443,0.4538992323654488,-0.41659138346948177,0.8018329466071397,-0.9643967550352597,-0.8364842899991641,15250.0,False,False,True,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
1.1279411814897635,1.1572778864176432,1.5050260756198388,2.6289708183341403,0.7917898083865414,0.5587765261535906,0.22016504346018448,-0.5262097153583443,0.4538992323654488,-0.41659138346948177,0.8018329466071397,-0.9643967550352597,-0.8364842899991641,17710.0,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
0.0,1.1572778864176432,1.5050260756198388,2.6289708183341403,0.7917898083865414,0.7719513858422437,0.22016504346018448,-0.5262097153583443,0.4538992323654488,-0.41659138346948177,0.8018329466071397,-0.9643967550352597,-0.8364842899991641,18920.0,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
1.1279411814897635,1.1572778864176432,1.5050260756198388,2.6289708183341403,0.8736990989092852,1.0277612174686273,0.09951844112785872,-0.7505891827297598,0.4538992323654488,-0.46665408111229273,0.8018329466071397,-1.2765444970031938,-1.571975726087668,23875.0,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
2.1932189640078734,0.397105157104094,0.21144760291095585,-0.5195284933947312,0.21842477472732055,-0.31136449203009287,-0.45545592960083975,0.6330841993939684,-1.4492894609866527,-0.34149733700526497,1.4308661517641197,-0.34010127109939103,-0.2480911411283612,16430.0,False,False,True,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
2.1932189640078734,0.397105157104094,0.21144760291095585,-0.5195284933947312,0.21842477472732055,-0.31136449203009287,-0.45545592960083975,0.6330841993939684,-1.4492894609866527,-0.34149733700526497,1.4308661517641197,-0.34010127109939103,-0.2480911411283612,16925.0,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
2.0678921660645666,0.397105157104094,0.21144760291095585,-0.5195284933947312,0.21842477472732055,0.2990907879874134,0.8957860165212087,-0.07745078061551325,-0.21221681030778644,-0.29143463936245406,-1.8191387415469435,-0.6522490130673253,-0.3951894283460619,20970.0,False,False,True,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
